stock_name,issue_date,error_type
대화제약,2003-02-14,not_code
네오크레마,2019-08-22,not_code
KOSEF 차이나A50커넥트MSCI,2022-09-20,not_code
동양에스텍,2002-02-05,not_code
삼진제약,1988-06-18,not_code
성광벤드,2001-01-11,not_code
소니드,2002-06-25,not_code
인바이오,2020-12-11,not_code
서울가스,1995-08-18,not_code
제일기획,1998-03-03,not_code
와토스코리아,2005-11-15,not_code
에코마케팅,2016-08-08,not_code
플라즈맵,2022-10-21,not_code
오로라,2001-01-03,not_code
RISE 미국반도체NYSE(H),2023-10-24,not_code
종근당바이오,2001-12-11,not_code
동운아나텍,2015-06-30,not_code
KINDEX Fn K-뉴딜디지털플러스,2020-11-10,not_code
동양파일,2016-04-06,not_code
케이엔솔,2020-09-24,not_code
아스트,2014-12-24,not_code
코아스,2005-08-04,not_code
유니드비티플러스,2022-11-28,not_code
샤페론,2022-10-19,not_code
인탑스,2002-02-21,not_code
피피아이,2019-12-26,not_code
SG세계물산,1976-04-19,not_code
제이씨현시스템,1997-11-10,not_code
경남제약헬스케어,2015-12-24,not_code
글로본,1992-06-04,not_code
아이컴포넌트,2008-12-16,not_code
티엘아이,2006-07-25,not_code
이월드,2005-07-26,not_code
인팩,2004-09-21,not_code
동일고무벨트,2012-10-19,not_code
애드바이오텍,2022-01-24,not_code
모아텍,1997-10-13,not_code
대덕전자,2020-05-21,not_code
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),2021-07-20,not_code
코미코,2017-03-23,not_code
JW중외제약,1976-06-14,not_code
메타랩스,2006-12-26,not_code
NHN벅스,2009-10-06,not_code
한글과컴퓨터,1996-09-24,not_code
남화산업,2018-11-29,not_code
아미코젠,2013-09-12,not_code
방림,1989-05-30,not_code
DL건설,1977-12-22,not_code
로체시스템즈,2003-11-14,not_code
대한광통신,1994-11-07,not_code
코람코라이프인프라리츠,2020-08-31,not_code
SK,2009-11-11,not_code
라닉스,2019-09-18,not_code
현대로템,2013-10-30,not_code
씨유테크,2021-10-08,not_code
삼성공조,1987-11-28,not_code
밀리의서재,2023-09-27,not_code
나라엠앤디,2001-06-12,not_code
